Frame Offset; Frame Index; Frame Time (ms); Time from first frame (ms)
188;189;41.0217;60567.3346633911
189;190;42.0655;60608.3563613892
190;191;46.8345;60650.4218597412
191;192;46.0498;60697.2563591003
192;193;45.8665;60743.3061599731
193;194;42.1275;60789.1726608276
194;195;46.7886;60831.3001594543
195;196;57.2913;60878.088760376
196;197;45.9511;60935.3800621033
197;198;45.4847;60981.331161499
198;199;48.435;61026.8158607483
199;200;48.3411;61075.2508621216
200;201;46.13;61123.591960907
201;202;40.9851;61169.7219619751
202;203;40.7685;61210.7070617676
203;204;41.7507;61251.4755630493
204;205;42.1601;61293.2262611389
